id_venta,fecha,id_producto,cantidad,total
1,2026-01-05,PROD-004,2,10.0
2,2026-01-31,PROD-001,10,155.0
3,2026-02-02,PROD-001,5,77.5
4,2026-01-11,PROD-003,9,98.91
5,2026-01-21,PROD-005,9,900.0
6,2026-01-14,PROD-005,2,200.0
7,2026-02-16,PROD-004,3,15.0
8,2026-01-27,PROD-002,2,50.0
9,2026-01-13,PROD-006,3,135.75
10,2026-01-31,PROD-006,7,316.75
11,2026-02-12,PROD-005,2,200.0
12,2026-02-12,PROD-001,9,139.5
13,2026-01-13,PROD-003,7,76.93
14,2026-02-23,PROD-001,6,93.0
15,2026-01-04,PROD-004,8,40.0
16,2026-01-26,PROD-001,7,108.5
17,2026-01-30,PROD-006,4,181.0
18,2026-01-15,PROD-004,5,25.0
19,2026-01-12,PROD-001,1,15.5
20,2026-02-20,PROD-006,8,362.0
21,2026-01-15,PROD-005,2,200.0
22,2026-02-08,PROD-002,10,250.0
23,2026-01-31,PROD-001,10,155.0
24,2026-01-29,PROD-004,3,15.0
25,2026-01-19,PROD-005,8,800.0
26,2026-01-23,PROD-006,8,362.0
27,2026-02-27,PROD-002,3,75.0
28,2026-01-16,PROD-005,3,300.0
29,2026-02-11,PROD-003,4,43.96
30,2026-01-09,PROD-005,4,400.0
31,2026-01-30,PROD-001,1,15.5
32,2026-02-18,PROD-002,2,50.0
33,2026-01-13,PROD-005,8,800.0
34,2026-03-01,PROD-006,5,226.25
35,2026-01-07,PROD-004,8,40.0
36,2026-02-26,PROD-006,8,362.0
37,2026-01-27,PROD-004,3,15.0
38,2026-01-30,PROD-003,6,65.94
39,2026-01-22,PROD-004,2,10.0
40,2026-01-31,PROD-003,10,109.9
41,2026-02-21,PROD-002,6,150.0
42,2026-02-28,PROD-003,5,54.95
43,2026-01-25,PROD-003,9,98.91
44,2026-01-30,PROD-001,9,139.5
45,2026-01-19,PROD-004,2,10.0
46,2026-01-19,PROD-003,8,87.92
47,2026-01-31,PROD-003,1,10.99
48,2026-01-25,PROD-004,5,25.0
49,2026-02-21,PROD-006,7,316.75
50,2026-02-02,PROD-001,6,93.0
51,2026-01-20,PROD-003,1,10.99
52,2026-02-07,PROD-005,1,100.0
53,2026-01-23,PROD-006,8,362.0
54,2026-02-19,PROD-002,1,25.0
55,2026-02-13,PROD-003,8,87.92
56,2026-01-16,PROD-003,4,43.96
57,2026-02-14,PROD-003,3,32.97
58,2026-02-05,PROD-005,5,500.0
59,2026-02-27,PROD-004,6,30.0
60,2026-01-30,PROD-006,10,452.5
61,2026-01-18,PROD-001,10,155.0
62,2026-02-20,PROD-001,3,46.5
63,2026-02-03,PROD-005,5,500.0
64,2026-02-05,PROD-004,7,35.0
65,2026-01-06,PROD-006,7,316.75
66,2026-01-05,PROD-006,3,135.75
67,2026-01-10,PROD-006,8,362.0
68,2026-01-03,PROD-006,8,362.0
69,2026-02-11,PROD-003,3,32.97
70,2026-02-02,PROD-001,2,31.0
71,2026-01-28,PROD-003,8,87.92
72,2026-01-07,PROD-006,3,135.75
73,2026-01-18,PROD-001,4,62.0
74,2026-01-02,PROD-001,5,77.5
75,2026-03-01,PROD-003,4,43.96
76,2026-01-12,PROD-001,2,31.0
77,2026-01-04,PROD-001,2,31.0
78,2026-02-28,PROD-006,2,90.5
79,2026-02-01,PROD-004,5,25.0
80,2026-02-21,PROD-002,7,175.0
81,2026-02-07,PROD-005,1,100.0
82,2026-03-01,PROD-002,3,75.0
83,2026-01-20,PROD-004,6,30.0
84,2026-02-20,PROD-005,9,900.0
85,2026-01-22,PROD-004,4,20.0
86,2026-02-11,PROD-001,1,15.5
87,2026-01-16,PROD-002,7,175.0
88,2026-02-06,PROD-003,6,65.94
89,2026-02-22,PROD-002,2,50.0
90,2026-01-17,PROD-006,10,452.5
91,2026-02-06,PROD-002,7,175.0
92,2026-02-12,PROD-003,10,109.9
93,2026-02-22,PROD-004,7,35.0
94,2026-02-19,PROD-003,5,54.95
95,2026-02-13,PROD-002,4,100.0
96,2026-01-26,PROD-005,8,800.0
97,2026-02-25,PROD-001,9,139.5
98,2026-02-06,PROD-005,3,300.0
99,2026-01-15,PROD-004,6,30.0
100,2026-01-03,PROD-001,2,31.0
101,2026-01-11,PROD-002,1,25.0
102,2026-01-06,PROD-001,3,46.5
103,2026-01-30,PROD-004,2,10.0
104,2026-01-13,PROD-003,6,65.94
105,2026-02-26,PROD-005,9,900.0
106,2026-02-22,PROD-005,2,200.0
107,2026-02-11,PROD-002,4,100.0
108,2026-02-11,PROD-003,10,109.9
109,2026-02-12,PROD-002,3,75.0
110,2026-01-23,PROD-004,2,10.0
111,2026-02-06,PROD-002,6,150.0
112,2026-02-09,PROD-002,3,75.0
113,2026-01-05,PROD-003,10,109.9
114,2026-01-18,PROD-004,10,50.0
115,2026-02-09,PROD-004,6,30.0
116,2026-01-01,PROD-006,7,316.75
117,2026-01-26,PROD-004,7,35.0
118,2026-02-17,PROD-005,1,100.0
119,2026-03-01,PROD-005,4,400.0
120,2026-01-02,PROD-001,2,31.0
121,2026-02-13,PROD-006,10,452.5
122,2026-01-04,PROD-002,6,150.0
123,2026-01-03,PROD-004,6,30.0
124,2026-01-06,PROD-006,2,90.5
125,2026-02-23,PROD-001,2,31.0
126,2026-01-26,PROD-006,2,90.5
127,2026-01-12,PROD-004,9,45.0
128,2026-01-14,PROD-006,5,226.25
129,2026-01-11,PROD-004,4,20.0
130,2026-01-29,PROD-004,8,40.0
131,2026-01-17,PROD-003,1,10.99
132,2026-01-18,PROD-004,7,35.0
133,2026-01-21,PROD-001,10,155.0
134,2026-01-14,PROD-001,3,46.5
135,2026-02-14,PROD-004,3,15.0
136,2026-01-27,PROD-005,1,100.0
137,2026-01-08,PROD-005,9,900.0
138,2026-02-09,PROD-004,9,45.0
139,2026-02-09,PROD-004,4,20.0
140,2026-02-04,PROD-005,2,200.0
141,2026-02-10,PROD-006,4,181.0
142,2026-02-02,PROD-001,10,155.0
143,2026-01-18,PROD-005,8,800.0
144,2026-02-20,PROD-004,2,10.0
